id_training;training_requirement;training_group;training_type;modality;area;supplier;cost_estimate;date;total_hours;cost_executed
83;Curso de Especialización en Logística;DESARROLLO;TECNICA;Curso abierto;LOGÍSTICA UN 2;ITBA; $7.000 ;01/12/2015;45;750
93;Inglés - Nivel 1;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/12/2015;40;2222
94;Ingles - Nivel 2;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $20.000 ;01/12/2015;40;2222
102;Maestría en RR.HH.;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;UBA ECO; $2.000 ;01/12/2015;20;222
101;MBA;DESARROLLO;FORMACION;Curso abierto;RECURSOS HUMANOS;Univ. Torcuato Di Tella; $99.400 ;01/12/2015;50;11094
95;Portugues Nivel I;COMPLIANCE;IDIOMAS;In company;IDIOMAS;Lingua Brasil; $15.000 ;01/12/2015;10;1667
113;Requisitos legales ambientales (nacional y pcia. de Bs. As.);COMPLIANCE;TECNICA;Curso abierto;MASS;BEC; $1.565 ;01/12/2015;8;1565
115;Simulacro de evacuación;COMPLIANCE;MASS;In company;MASS;INTERNO; $244 ;01/12/2015;75;244
41;Adm. de personal ;DESARROLLO;DESARROLLO;In company;LINEA 2;INTERNO; $977 ;01/02/2016;24;977
107;Circulación segura en planta;COMPLIANCE;MASS;In company;MASS;INTERNO; $977 ;01/02/2016;100;977
116;Reciclado de vidrio;COMPLIANCE;TECNICA;In company;MASS;INTERNO; $244 ;01/02/2016;75;244
123;Lean Manufacturing;DESARROLLO;CALIDAD;In company;LINEA 1;SETEC; $6.900 ;01/03/2016;24;6900
103;Trabajo en altura (selección y evaluación de puntos de anclaje);COMPLIANCE;MASS;In company;MASS;Esteban Vega; $5.000 ;01/03/2016;32;5000
75;VDA VW 6.3;COMPLIANCE;CALIDAD;Curso abierto;CALIDAD;SETEC; $6.900 ;01/03/2016;8;6900
